순위	빈도	항목	범주
234	1	등가	종
234	1	등만	연
234	1	등만	종
220	15	디	연
217	18	디	종
234	1	디끼	연
234	1	디만	연
233	2	디요	종
234	1	딨	선
16	14799	ㄹ	관
232	3	ㄹ	연
234	1	ㄹ	종
228	7	ㄹ거나	종
219	16	ㄹ걸	종
234	1	ㄹ게	연
114	433	ㄹ게	종
234	1	ㄹ고	연
234	1	ㄹ까	연
46	2861	ㄹ까	종
234	1	ㄹ까나	종
234	1	ㄹ까봐	연
232	3	ㄹ께	종
228	7	ㄹ꼬	종
234	1	ㄹ끼마	연
225	10	ㄹ는지	연
178	71	ㄹ는지	종
232	3	ㄹ똥	연
228	7	ㄹ라	연
209	26	ㄹ라	종
230	5	ㄹ라고	연
230	5	ㄹ라고	종
232	3	ㄹ라구	연
234	1	ㄹ라구	종
234	1	ㄹ라냐	종
234	1	ㄹ라면	연
233	2	ㄹ라믄	연
232	3	ㄹ라요	종
224	11	ㄹ라치면	연
225	10	ㄹ락	연
230	5	ㄹ란다	종
233	2	ㄹ랍니까	종
233	2	ㄹ랍디	종
234	1	ㄹ랑가	연
233	2	ㄹ랑가	종
234	1	ㄹ랑께	연
234	1	ㄹ랑께	종
148	162	ㄹ래	종
234	1	ㄹ래도	연
233	2	ㄹ래야	연
231	4	ㄹ런가	종
233	2	ㄹ런지	종
234	1	ㄹ레라	종
234	1	ㄹ려	연
228	7	ㄹ려고	연
233	2	ㄹ려고	종
234	1	ㄹ려면	연
206	29	ㄹ망정	연
229	6	ㄹ밖에	종
221	14	ㄹ뿐더러	연
156	134	ㄹ세	종
198	37	ㄹ세라	연
98	628	ㄹ수록	연
234	1	ㄹ시	연
234	1	ㄹ쎄	종
233	2	ㄹ쏘냐	종
234	1	ㄹ쏘며	연
234	1	ㄹ쏘며	종
234	1	ㄹ쏜가	종
234	1	ㄹ작시면	연
203	32	ㄹ지	연
107	482	ㄹ지	종
233	2	ㄹ지니	연
143	183	ㄹ지라도	연
234	1	ㄹ지며	연
234	1	ㄹ지어다	종
232	3	ㄹ지언정	연
226	9	ㄹ진대	연
234	1	ㄹ진댄	연
232	3	ㄹ진저	종
234	1	ㄹ쳐	종
229	6	라	선
43	3364	라	연
14	17532	라	종
165	100	라고	연
87	825	라고	종
231	4	라구	종
219	16	라나	종
214	21	라네	종
234	1	라뇨	종
221	14	라느니	연
231	4	라니	연
151	148	라니	종
233	2	라니까	연
171	85	라니까	종
228	7	라니께	종
186	58	라도	연
234	1	라도	종
226	9	라며	연
223	12	라며	종
78	1021	라면	연
234	1	라면	종
234	1	라면서	연
230	5	라면서	종
234	1	라믄	연
159	121	라서	연
224	11	라야	연
225	10	라오	종
233	2	라요	종
223	12	라우	종
234	1	라우요	종
234	1	라이	종
228	7	라지	종
234	1	락	연
234	1	락	종
166	98	란다	종
232	3	랄까	종
234	1	람	연
210	25	람	종
234	1	랍니까	종
197	38	랍니다	종
228	7	랍시고	연
233	2	랑께	종
219	16	래	종
234	1	래냐	종
234	1	래서	연
234	1	래요	종
232	3	래이	종
207	28	랴	연
177	75	랴	종
102	571	러	연
234	1	러	종
234	1	러니	연
233	2	런가	종
56	2392	려	연
228	7	려	종
232	3	려거든	연
68	1516	려고	연
210	25	려고	종
234	1	려구	종
234	1	려나	연
210	25	려나	종
234	1	려는가	종
234	1	려는데	연
234	1	려는지	연
219	16	려니	연
217	18	려니	종
217	18	려니와	연
221	14	려다	연
226	9	려다가	연
100	579	려면	연
230	5	려무나	종
232	3	려야	연
232	3	련	종
234	1	련다	종
233	2	련만	연
192	49	렴	종
233	2	렵니까	종
228	7	렵니다	종
230	5	렷다	종
231	4	로고	종
203	32	로구나	종
234	1	로구만	종
232	3	로구먼	종
198	37	로군	종
210	25	로다	종
233	2	로되	연
234	1	로라	종
234	1	로마	종
232	3	로세	종
234	1	를	연
196	41	리	종
233	2	리까	종
229	6	리니	연
213	22	리다	종
231	4	리라	연
106	489	리라	종
232	3	리로다	종
224	11	리만치	연
213	22	리만큼	연
233	2	리야	종
231	4	리오	종
234	1	리이다	종
30	5837	ㅁ	명
233	2	ㅁ	연
233	2	ㅁ더	종
222	13	ㅁ매	종
233	2	ㅁ서	연
138	212	ㅁ에도	연
234	1	ㅁ에랴	종
201	34	마	종
234	1	마는	연
230	5	매	연
233	2	먼	연
234	1	메뇨	종
18	13482	며	연
15	16657	면	연
229	6	면	종
26	7851	면서	연
234	1	면서도	연
233	2	몬	연
231	4	문	연
233	2	문서	연
84	870	므로	연
213	22	믄	연
234	1	믄서	연
232	3	ㅂ네	종
233	2	ㅂ네까	종
231	4	ㅂ네다	종
234	1	ㅂ니까	연
80	992	ㅂ니까	종
229	6	ㅂ니꺼	종
234	1	ㅂ니껴	종
225	10	ㅂ니다	연
22	9332	ㅂ니다	종
234	1	ㅂ니다이	종
230	5	ㅂ니더	종
234	1	ㅂ데다	종
222	13	ㅂ디	연
234	1	ㅂ디	종
230	5	ㅂ디까	종
234	1	ㅂ디껴	종
234	1	ㅂ디냐	종
202	33	ㅂ디다	종
233	2	ㅂ디더	종
232	3	ㅂ디야	종
234	1	ㅂ서야	종
234	1	ㅂ서예	종
232	3	ㅂ세	종
232	3	ㅂ소서	종
209	26	ㅂ쇼	종
234	1	ㅂ시다	연
129	298	ㅂ시다	종
232	3	ㅂ시오	연
179	70	ㅂ시오	종
227	8	ㅂ죠	종
228	7	사	연
220	15	사오	선
233	2	사오	연
234	1	사옵	선
232	3	사옵니까	종
213	22	사옵니다	종
234	1	사와	연
234	1	새이	연
200	35	서	연
234	1	서	종
233	2	서야	연
190	51	세	종
228	7	세요	연
67	1519	세요	종
233	2	세유	종
234	1	셔	종
214	21	셔요	종
234	1	션	연
234	1	소	연
90	744	소	종
234	1	소서	연
187	57	소서	종
234	1	소이까	종
223	12	소이다	종
227	8	쇼	종
221	14	수	종
231	4	수다	종
203	32	슈	종
226	9	슴	종
232	3	슴매	종
234	1	습기꺼	종
232	3	습네다	종
234	1	습니까	연
79	1002	습니까	종
230	5	습니꺼	종
232	3	습니껴	종
21	12933	습니다	종
232	3	습니다만	연
231	4	습니더	종
230	5	습디까	종
228	7	습디다	종
28	7277	시	선
234	1	시	연
233	2	시	종
233	2	시다	종
233	2	시라	종
234	1	시소	종
234	1	시야	종
232	3	시오	종
230	5	시요	종
233	2	십니다	종
226	9	십사	종
229	6	십시다	종
234	1	십시오	연
127	315	십시오	종
234	1	씨요	종
234	1	ㅇ	관
227	8	ㅇ게	연
233	2	ㅇ교	종
234	1	ㅇ께	연
234	1	ㅇ마	종
234	1	아	선
8	56072	아	연
34	4954	아	종
232	3	아가	연
234	1	아나	연
205	30	아다	연
211	24	아다가	연
47	2836	아도	연
231	4	아두	연
94	728	아라	종
234	1	아라야	종
234	1	아만	연
234	1	아부요	종
17	14292	아서	연
234	1	아서	종
234	1	아서라면	연
231	4	아서리	연
234	1	아서요	연
234	1	아시랴	종
29	6167	아야	연
226	9	아야	종
234	1	아야디	종
139	211	아야만	연
234	1	아야제	종
234	1	아야죠	종
200	35	아야지	연
131	275	아야지	종
234	1	아어	연
233	2	아요	연
44	3274	아요	종
231	4	아유	종
234	1	압사이다	종
7	58596	았	선
231	4	았	연
232	3	았	종
82	943	았었	선
234	1	았자	연
234	1	애	종
234	1	애도	연
233	2	애요	종
213	22	야	연
37	4256	야	종
233	2	야만	연
234	1	야부러	종
233	2	야서	연
231	4	야요	종
234	1	야지	연
231	4	야지	종
234	1	얏	선
234	1	얐	선
6	60406	어	연
33	5033	어	종
233	2	어가	연
234	1	어나	연
144	180	어다	연
234	1	어다	종
185	59	어다가	연
69	1499	어도	연
234	1	어두	연
233	2	어든	연
234	1	어들	연
233	2	어라	연
115	425	어라	종
226	9	어라우	종
230	5	어만	연
234	1	어사	연
27	7397	어서	연
234	1	어서	종
232	3	어서리	연
32	5047	어야	연
219	16	어야	종
146	177	어야만	연
234	1	어야제	종
233	2	어야죠	종
192	49	어야지	연
141	206	어야지	종
31	5600	어요	종
229	6	어유	종
234	1	어이	종
233	2	어지라	종
5	69511	었	선
234	1	었	연
234	1	었다	종
121	349	었었	선
229	6	에	연
234	1	에요	연
61	1990	에요	종
215	20	여	연
161	117	여	종
168	92	여라	종
234	1	여야	종
234	1	영	연
234	1	예	종
206	29	예요	종
208	27	오	선
234	1	오	연
76	1098	오	종
230	5	오니	연
228	7	오니까	종
233	2	오리까	종
229	6	오리다	종
234	1	오이다	종
233	2	올습니다	종
224	11	올시다	종
216	19	옵	선
233	2	옵나이다	종
225	10	옵니까	종
189	52	옵니다	종
234	1	옵디다	종
219	16	옵소서	종
231	4	옵시	선
234	1	와	연
232	3	외다	종
113	438	요	연
194	47	요	종
232	3	요오	종
187	57	우	종
233	2	우리다	종
233	2	우리이다	종
234	1	운까	종
234	1	워	종
220	15	유	종
233	2	으	연
234	1	으구만	종
234	1	으께	연
234	1	으께	종
58	2245	으나	연
232	3	으나	종
233	2	으나마	연
188	55	으냐	종
234	1	으냐고	종
234	1	으네	종
234	1	으노	종
81	979	으니	연
198	37	으니	종
88	822	으니까	연
207	28	으니까	종
234	1	으니까네	연
227	8	으니깐	연
226	9	으니께	연
232	3	으니끼니	연
231	4	으니라	종
233	2	으니만큼	연
234	1	으다	종
213	22	으되	연
142	196	으라	종
227	8	으라고	연
222	13	으라고	종
